version,time,type,id,state,edges,number,begin,end,depart,time2,id3,id4,type5,depart6,route,distance,speedFactor,state7,pos,speed,posLat,waitingTime,id8,value
1.8.0,100,micro,!142,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 565242144#5,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!143,0,565242144#2 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!144,0,506695195 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!146,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!147,0,506695204#1 506695197#0 506695197#1 489945116#5 489945116#6,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!149,0,216650113 565242144#3 565242144#4 565242144#5,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!15,0,565242144#2 565242144#3 565242144#4 565242144#5,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!150,0,565242144#2 565242144#3 565242144#4 506695196#0 489945116#3 489945116#4 489945116#5 489945116#6,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!151,0,565242144#2 565242144#3 565242144#4 506695196#0 489945116#3 489945116#4 489945116#5 489945116#6,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!152,0,489945116#0 506695195 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!154,0,565242144#2 565242144#3 565242144#4 565242144#5,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
